,_Old_Build,A_landmark,Alien_infl,Antique_ma,Argentina',Bingo_!,Do_you_kno,Freedom_an,Have_you_e,Historical,Meet_the_f,Plaza_del_,Take_a_bit,Tandil_tou,Theatre_on,The_best_i,The_man_wh,The_underg,What_does_,Who_is_the
1d024cbab5ff4490,0,?,4,?,3,?,?,5,3,?,?,?,?,?,?,?,1,9,?,?
211641fc70293302,2,?,1,?,6,?,?,2,?,?,?,?,?,?,?,?,?,?,?,0
381551a3be844713,2,?,1,0,?,5,1,3,1,?,1,?,1,0,?,0,?,?,10,?
3e3fd899d9bed3a4,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
43d6a2cbdb4f659a,1,?,3,?,1,?,?,4,1,?,?,?,?,?,?,?,1,3,?,?
4e6c40c5436d5f4c,6,?,?,?,?,0,?,0,?,?,?,1,?,?,0,?,?,?,?,?
5c172f6a6f2b6f65,0,?,0,?,?,0,?,4,?,?,0,?,?,?,?,?,0,0,?,?
65b78c5adf5c8746,0,0,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?
67ffeec1d19c0440,6,?,?,?,?,1,0,?,?,?,1,?,?,1,?,?,3,?,?,?
6b498993fa3f5d1f,?,?,?,?,?,?,?,4,?,?,0,?,?,?,?,?,2,?,?,?
6cf9cebf7b50d4c8,3,?,1,?,9,?,?,4,1,?,?,?,?,?,?,?,6,10,?,?
7a1e8970d8b9c101,2,?,?,?,?,?,0,?,?,?,?,?,?,0,?,?,?,?,?,?
9532326214adc358,0,?,0,?,0,?,0,0,?,?,?,?,?,?,?,?,?,?,?,0
ae200714b9e37173,0,?,1,?,?,?,?,1,?,1,?,3,?,?,?,?,?,?,?,?
b23223591eb8d9a2,?,?,2,?,?,?,?,5,?,10,?,3,?,?,?,?,?,?,?,?
c174444f99dea046,1,?,?,?,?,?,?,4,?,?,0,?,?,?,?,?,0,?,?,?
cce033f1f58e2bd3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
dc5bf415341bf912,4,?,?,?,?,?,?,?,?,?,10,?,?,0,?,?,4,10,?,?
f816c4543b753fcf,1,?,?,?,0,?,?,?,?,1,?,2,1,?,?,?,?,?,?,?
53c2968cc456f723,0,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?
