,_Old_Build,A_landmark,Alien_infl,Antique_ma,Argentina',Bingo_!,Do_you_kno,Freedom_an,Have_you_e,Historical,Meet_the_f,Plaza_del_,Take_a_bit,Tandil_tou,Theatre_on,The_best_i,The_man_wh,The_underg,What_does_,Who_is_the
1d024cbab5ff4490,0,?,8,?,6,?,?,0,8,?,?,?,?,?,?,?,6,10,?,?
211641fc70293302,8,?,10,?,6,?,?,10,?,?,?,?,?,?,?,?,?,?,?,0
381551a3be844713,8,?,0,6,?,4,8,0,10,?,0,?,0,8,?,10,?,?,4,?
3e3fd899d9bed3a4,?,10,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
43d6a2cbdb4f659a,10,?,6,?,10,?,?,10,10,?,?,?,?,?,?,?,6,8,?,?
4e6c40c5436d5f4c,2,?,?,?,?,8,?,6,?,?,?,0,?,?,6,?,?,?,?,?
5c172f6a6f2b6f65,0,?,0,?,?,0,?,0,?,?,0,?,?,?,?,?,0,0,?,?
65b78c5adf5c8746,0,10,?,?,?,?,10,?,?,?,?,?,?,?,?,?,?,?,?,?
67ffeec1d19c0440,6,?,?,?,?,4,0,?,?,?,0,?,?,6,?,?,0,?,?,?
6b498993fa3f5d1f,?,?,?,?,?,?,?,10,?,?,0,?,?,?,?,?,8,?,?,?
6cf9cebf7b50d4c8,10,?,8,?,8,?,?,4,6,?,?,?,?,?,?,?,0,6,?,?
7a1e8970d8b9c101,6,?,?,?,?,?,10,?,?,?,?,?,?,10,?,?,?,?,?,?
9532326214adc358,6,?,6,?,6,?,6,8,?,?,?,?,?,?,?,?,?,?,?,6
ae200714b9e37173,8,?,10,?,?,?,?,10,?,6,?,8,?,?,?,?,?,?,?,?
b23223591eb8d9a2,?,?,8,?,?,?,?,8,?,6,?,8,?,?,?,?,?,?,?,?
c174444f99dea046,10,?,?,?,?,?,?,10,?,?,10,?,?,?,?,?,10,?,?,?
cce033f1f58e2bd3,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?
dc5bf415341bf912,8,?,?,?,?,?,?,?,?,?,10,?,?,0,?,?,6,0,?,?
f816c4543b753fcf,10,?,?,?,8,?,?,?,?,8,?,0,10,?,?,?,?,?,?,?
53c2968cc456f723,6,?,?,?,?,?,?,?,?,?,?,?,?,4,?,?,?,?,?,?
